,GPU,NEWUSPrice,AVG1080pFPS,AVG1440pFPS,AVG4kFPS,Newegg_New_Price,Ebay_Used_Price
1,RX 6900 XT,999.0,250.1,186.9,105.9,719.0,675.0
0,RTX 3090,1499.0,246.5,187.7,117.9,1099.0,900.0
2,RTX 3080 Ti,799.0,241.8,182.0,112.6,889.0,814.95
3,RX 6800 XT,649.0,236.1,176.4,100.1,639.0,599.0
4,RTX 3080,699.0,232.4,173.0,105.0,739.0,650.0
5,RX 6800,579.0,197.4,147.6,79.7,599.0,504.44
6,RTX 3070 Ti,599.0,187.2,139.3,89.0,639.0,450.0
8,RTX 3070,499.0,178.8,133.1,80.8,549.0,450.0
7,TITAN RTX,2499.0,166.3,127.3,77.8,3099.0,849.99
10,RX 6700 XT,479.0,163.2,122.0,70.6,449.0,399.98
9,RTX 2080 Ti,1187.0,161.4,123.6,75.6,898.0,450.0
11,RTX 3060 Ti,399.0,150.0,113.8,69.3,469.0,399.99
12,RTX 2080 SUPER,699.0,145.5,110.6,67.2,892.0,340.0
13,TITAN V,2999.0,139.9,107.1,66.7,2398.0,1449.95
14,RTX 2080,693.0,137.2,103.2,62.3,1097.0,340.0
15,RX 6600 XT,379.0,135.8,101.5,59.5,319.0,278.0
17,GTX 1080 Ti,807.0,129.2,98.6,59.7,934.0,279.97
16,RTX 2070 SUPER,499.0,128.3,95.4,57.6,898.0,300.0
19,Radeon VII,664.0,126.0,94.2,56.3,2389.0,
18,TITAN Xp,1199.0,125.8,94.9,58.9,999.0,349.95
20,RTX 3060,329.0,124.3,92.0,55.4,379.0,369.0
21,RX 5700 XT,399.0,122.8,91.8,54.8,799.0,319.0
22,RTX 2070,469.0,120.8,89.0,53.7,438.0,275.0
24,RTX 2060 SUPER,400.0,114.7,83.0,50.0,399.0,255.0
23,RX 5700,349.0,112.7,84.3,50.3,1094.0,275.0
25,GTX 1080,522.0,109.6,80.8,48.2,748.0,199.99
27,RTX 2060,349.0,107.8,76.4,45.3,249.0,200.0
26,RX 5600 XT,279.0,105.8,78.6,46.8,698.0,200.0
32,RTX 3050 Ti,249.0,102.3,74.3,44.3,,
28,RX Vega 64,419.0,102.2,76.5,45.6,679.0,313.49
29,GTX 1070 Ti,503.0,101.1,74.7,44.6,704.0,139.99
35,R9 295X2,1499.0,101.1,73.8,46.7,,205.02
31,GTX TITAN X,1099.0,97.9,71.6,43.0,,219.0
34,GTX 1660 Ti,279.0,96.3,71.1,42.5,266.0,185.0
33,RTX 2080 Mobile,1942.0,96.0,72.3,43.6,,
30,RX Vega 56,269.0,95.9,71.7,42.8,829.0,215.0
37,GTX 1070,329.0,93.6,68.5,40.6,399.0,139.99
39,GTX 1080 Mobile,1857.0,93.1,68.7,41.0,,
36,RTX 3050,200.0,92.9,68.5,41.1,324.0,269.99
38,GTX 1660 SUPER,229.0,91.0,67.2,40.3,236.0,160.0
40,GTX 1660,220.0,85.9,63.5,38.0,229.0,149.99
42,RTX 2070 Mobile,1724.0,85.1,62.4,38.2,,
46,GTX 980 Ti,619.0,84.5,62.1,37.0,,150.0
41,RTX 2080 Max-Q,1772.0,82.3,61.9,37.4,,
44,GTX 1080 Max-Q,1955.0,82.2,60.6,36.2,,
48,RX 590,214.0,80.7,58.0,33.8,,160.0
45,GTX 1070 Mobile,1559.0,79.5,58.2,34.5,,
47,R9 FURY X,649.0,78.0,59.6,36.3,,129.0
49,RTX 2060 Mobile,1104.0,75.4,53.5,31.7,,
65,HD 7990,999.0,73.8,56.8,32.5,,
53,GTX 980,249.0,73.7,53.5,32.0,,99.99
54,RX 5500 XT 8GB,199.0,73.5,52.8,30.8,,115.0
60,GTX 1650 SUPER,160.0,73.2,53.8,32.1,196.0,125.0
50,RTX 2070 Max-Q,1516.0,73.0,53.5,32.7,,
59,RX 580,151.0,71.4,51.2,29.7,,99.99
51,R9 Nano,1529.0,71.0,53.5,32.4,,
43,GTX 1660 Ti Mobile,1758.0,71.0,52.6,31.5,,
52,GTX 1070 Max-Q,1106.0,70.2,51.4,30.5,,
69,GTX TITAN,650.0,67.3,48.7,27.1,,151.99
55,RX Vega 56 Mobile,1579.0,67.1,50.2,30.0,,
61,GTX 1060 6GB,159.0,67.0,48.4,28.8,,120.0
62,GTX TITAN BLACK,999.0,67.0,48.6,30.3,,
58,RX 5500 XT 4GB,169.0,66.3,47.7,27.8,,
57,R9 FURY,549.0,66.0,49.7,30.1,,
56,GTX 1660 Ti Max-Q,1185.0,65.9,48.7,29.1,,
66,R9 390X,495.0,64.2,48.0,28.8,,
64,GTX 1060 3GB,170.0,63.7,46.0,27.4,,101.0
70,GTX 970,449.0,62.2,44.6,27.4,,79.99
71,R9 290X,399.0,61.2,45.1,27.9,,100.0
67,GTX 780 Ti,410.0,60.5,42.2,26.8,,
63,RX 480,399.0,59.8,44.6,27.4,,75.0
68,RX 570,123.0,59.6,43.6,25.6,,89.99
72,R9 390,465.0,59.6,43.7,25.1,,115.0
75,R9 290,310.0,57.7,42.0,26.2,,75.0
73,GTX 1650,149.0,57.0,41.7,24.8,,
74,GTX 1060 Mobile,987.0,56.9,41.1,24.4,,
80,GTX 780,355.0,55.7,40.2,24.5,,
76,RX 470,342.0,52.9,39.0,23.2,,
77,GTX 980M,1345.0,51.6,37.5,22.4,,
78,GTX 980 Mobile,1345.0,51.6,37.5,22.4,,
79,GTX 980MX,1345.0,51.6,37.5,22.4,,
81,GTX 1060 Max-Q,1185.0,50.2,36.3,21.6,,
82,RX 580 Mobile,1307.0,50.0,35.9,20.8,,
83,RX 580X Mobile,1307.0,50.0,35.9,20.8,,
87,R9 280X,350.0,46.3,33.5,20.5,,
84,Pro WX 7100 Mobile,1959.0,45.0,33.1,19.7,,
85,R9 380X,229.0,44.2,32.3,19.6,,
90,GTX 970M 6GB,1249.0,43.5,31.2,19.2,,
89,GTX 770,179.0,42.6,29.2,17.9,,
91,GTX 970M,1249.0,42.5,30.5,18.7,,
86,RX 480 Mobile,1275.0,41.8,31.2,19.2,,
88,RX 570 Mobile,1260.0,41.7,30.5,17.9,,
97,R9 M290X,1209.0,40.4,29.4,18.3,,
93,GTX 1650 Mobile,1151.0,39.9,29.2,17.4,,
95,R9 285,380.0,39.5,28.9,16.7,,
96,R9 380,299.0,39.4,28.7,16.7,,
94,GTX 1050 Ti,129.0,39.3,28.8,17.1,,85.0
92,GTX 1650 Max-Q,1239.0,39.0,28.5,17.0,,
102,GTX 780M,1162.0,39.0,28.1,17.1,,
103,GTX 780M,1162.0,39.0,28.1,17.1,,
98,R9 280,350.0,38.6,28.3,16.1,,
100,GTX 960,89.0,38.0,27.5,16.3,,
99,RX 470 Mobile,1203.0,37.0,27.3,16.2,,
104,GTX 760,320.0,36.9,27.3,14.9,,
101,GTX 1050 Ti Mobile,876.0,33.4,24.5,14.5,,
105,GTX 1050,129.0,33.3,24.1,14.1,,
106,R9 270,275.0,32.8,21.9,13.7,,
108,RX 560,99.0,30.5,21.9,12.9,,
107,GTX 950,89.0,30.0,21.4,13.2,,
