,RANKING,GPU,NEW_PRICE,PASSMARK_SCORE,USED_PRICE,USED_DOLLARS_PER_POINT,NEW_DOLLARS_PER_POINT
0,139,GeForce GTX 970,237.99,9673.0,76.2,0.007877597436162514,0.024603535614597334
1,155,Radeon R9 390,,9044.0,78.0,0.008624502432551967,
2,146,GeForce GTX 780 Ti,339.99,9364.0,87.0,0.009290901324220419,0.03630820162323793
3,136,GeForce GTX 1060 3GB,269.99,9733.0,91.75,0.009426692694955307,0.027739648618103362
4,110,GeForce GTX 980,247.35,11247.0,125.0,0.011114074864408286,0.021992531341691116
5,76,GeForce GTX 980 Ti,465.66,13869.0,162.45,0.01171317326411421,0.03357560025957171
6,104,GeForce GTX 1660,229.99,11713.0,140.0,0.01195253137539486,0.01963544779305046
7,82,GeForce GTX 1070,342.55,13494.0,168.0,0.012449977767896843,0.025385356454720617
8,141,Radeon R9 Fury,443.1,9564.0,120.0,0.012547051442910916,0.04632998745294856
9,70,GeForce GTX 1070 Ti,389.0,14577.0,189.97,0.013032173972696714,0.026685875008575152
10,130,GeForce GTX 1060,279.99,10068.0,132.45,0.013155542312276518,0.02780989272943981
11,60,GeForce GTX 1080,442.79,15298.0,201.75,0.013187998431167473,0.028944306445286967
12,91,GeForce GTX 1660 SUPER,219.99,12762.0,170.0,0.01332079611346184,0.01723789374706159
13,158,Radeon RX 580,364.01,8918.0,120.0,0.013455931823278762,0.04081744785826418
14,33,GeForce GTX 1080 Ti,483.82,18361.0,249.99,0.013615271499373673,0.02635041664397364
15,78,Radeon RX 5600 XT,545.0,13846.0,210.7,0.015217391304347825,0.039361548461649576
16,131,GeForce GTX 1650 SUPER,196.99,10055.0,153.26,0.015242168075584286,0.019591248135256093
17,74,GeForce RTX 2060,249.99,13988.0,215.0,0.01537031741492708,0.01787174721189591
18,68,Radeon RX Vega 64,799.99,14661.0,229.99,0.015687197326239685,0.05456585498942773
19,127,Radeon R9 Fury X,,10142.0,160.0,0.015775981068822716,
20,80,NVIDIA TITAN X,608.1,13660.0,219.0,0.016032210834553442,0.04451683748169839
21,150,Radeon RX 5500 XT,184.99,9191.0,150.0,0.01632031335001632,0.020127298444130127
22,83,GeForce GTX TITAN X,1096.99,13279.0,219.0,0.016492205738383916,0.08261088937419986
23,102,GeForce GTX 1660 Ti,329.99,11808.0,195.0,0.016514227642276422,0.027946307588075883
24,140,Radeon RX 590,549.99,9664.0,159.99,0.016555256622516556,0.05691121688741722
25,47,GeForce RTX 2060 SUPER,339.99,16508.0,277.77,0.016826387206203053,0.020595468863581295
26,142,Radeon R9 390X,,9476.0,160.0,0.016884761502743775,
27,73,Radeon RX 6600,259.99,14055.0,240.0,0.017075773745997867,0.018498043400924938
28,81,Radeon RX Vega 56,752.99,13639.0,234.77,0.017213138793166657,0.0552085930053523
29,35,GeForce RTX 2070 SUPER,499.99,18188.0,315.0,0.01731911150208929,0.02749010336485595
30,21,GeForce RTX 2080 SUPER,683.99,19509.0,349.99,0.0179399251627454,0.03506022861243529
31,50,GeForce RTX 2070,627.44,16083.0,293.25,0.018233538518933036,0.039012622023254374
32,56,Radeon RX 6600 XT,329.99,15863.0,292.0,0.018407615205194478,0.02080249637521276
33,41,Radeon RX 5700 XT,694.94,16899.0,312.25,0.01847742469968637,0.041123143381265166
34,28,GeForce RTX 2080,633.03,18727.0,349.95,0.018686922625086772,0.03380306509318097
35,67,Radeon RX 5700,899.95,14668.0,274.99,0.018747613853286067,0.061354649577311154
36,113,Radeon RX 5600,,11177.0,210.7,0.018851212310995794,
37,22,TITAN Xp,,19327.0,371.7,0.019232162260050707,
38,38,GeForce RTX 3060,379.99,17006.0,345.0,0.020286957544396095,0.022344466658826296
39,12,GeForce RTX 2080 Ti,998.59,21817.0,459.95,0.021082183618279324,0.04577118760599533
40,11,GeForce RTX 3070,499.99,22209.0,469.95,0.021160340402539512,0.022512945202395426
41,27,Radeon RX 6700 XT,448.99,18887.0,399.97,0.02117700005294647,0.023772436067136127
42,16,GeForce RTX 3060 Ti,399.99,20359.0,440.0,0.021612063460877254,0.019646839235718846
43,55,RadeonT RX 6850M,,15899.0,349.95,0.02201081829045852,
44,10,GeForce RTX 3070 Ti,599.99,23572.0,549.99,0.023332343458340406,0.025453504157474972
45,92,GeForce RTX 3050,259.99,12749.0,300.0,0.023531257353517923,0.02039297199780375
46,15,Radeon RX 6800,579.99,20868.0,524.99,0.025157657657657657,0.027793271995399656
47,8,Radeon RX 6800 XT,669.99,23793.0,599.95,0.02521539948724415,0.02815912243096709
48,6,GeForce RTX 3080,699.0,25132.0,633.9,0.025222823491962438,0.027813146586025784
49,24,Radeon RX 6750 XT,499.99,19205.0,500.0,0.026034886748242645,0.02603436605050768
50,5,Radeon RX 6900 XT,749.99,25757.0,693.98,0.026943355204410453,0.029117909694451993
51,118,GeForce RTX 3050 OEM,,10766.0,300.0,0.027865502507895226,
52,3,GeForce RTX 3080 Ti,899.99,27207.0,862.49,0.0317010328224354,0.03307935457786599
53,2,Radeon RX 6950 XT,999.99,27987.0,909.99,0.03251473898595777,0.03573051774037946
54,4,GeForce RTX 3090,1203.18,26560.0,900.0,0.0338855421686747,0.04530045180722892
55,44,Radeon VII,1899.95,16804.0,650.0,0.03868126636515115,0.11306534158533682
56,18,TITAN RTX,2794.99,20051.0,800.0,0.039898259438432,0.1393940451847788
57,58,Quadro RTX 4000,899.0,15528.0,619.99,0.039927228232869656,0.05789541473467285
58,19,TITAN V,1999.99,19773.0,799.0,0.040408638041774136,0.10114752440196227
59,1,GeForce RTX 3090 Ti,1399.94,30187.0,1274.95,0.042235068075661714,0.04637559214231292
60,9,RTX A5000,2631.2,23628.0,1499.0,0.06344167936346708,0.11135940409683426
61,43,Radeon Pro VII,,16853.0,1500.0,0.08900492493917997,
62,7,RTX A5500,,23978.0,4042.44,0.16858954041204438,
63,13,RTX A6000,4999.99,21770.0,,,0.22967340376665135
64,14,RTX A4500,1752.6,21704.0,,,0.08075009214891264
65,17,GeForce RTX 3080 Ti Laptop GPU,,20173.0,,,
66,20,Quadro RTX 6000,6300.0,19566.0,,,0.3219871205151794
67,23,Radeon PRO W6800,2194.99,19283.0,,,0.11383031685940984
68,25,Quadro RTX 8000,4741.49,19126.0,,,0.24790808323747776
69,26,RTX A4000,1233.98,18895.0,,,0.06530722413336862
70,29,Radeon RX 6700,369.99,18726.0,,,0.01975809035565524
71,30,A10G,,18724.0,,,
72,31,TITAN Xp COLLECTORS EDITION,,18711.0,,,
73,32,GeForce RTX 3070 Ti Laptop GPU,,18539.0,,,
74,34,NVIDIA TITAN Xp,1645.0,18280.0,,,0.0899890590809628
75,36,RTX A4500 Laptop GPU,,17731.0,,,
76,37,Quadro GV100,8999.0,17675.0,,,0.5091371994342291
77,39,TITAN V CEO Edition,,16988.0,,,
78,40,RTX A5500 Laptop GPU,,16981.0,,,
79,42,Tesla P40,,16864.0,,,
80,45,Radeon RX 5700 XT 50th Anniversary,,16644.0,,,
81,46,GeForce RTX 3080 Laptop GPU,,16575.0,,,
82,48,Quadro GP100,,16203.0,,,
83,49,Quadro RTX 5000,,16163.0,,,
84,51,RTX A5000 Laptop GPU,,16044.0,,,
85,52,RTX A4000 Laptop GPU,,16013.0,,,
86,53,Radeon RX 6650 XT,349.99,15934.0,,,0.021964980544747083
87,54,Miracast display port driver V3,,15910.0,,,
88,57,Quadro P6000,3250.0,15764.0,,,0.2061659477290028
89,59,RTX A3000 12GB Laptop GPU,,15425.0,,,
90,61,GeForce RTX 3070 Laptop GPU,,15249.0,,,
91,62,GeForce RTX 2080 (Mobile),,15107.0,,,
92,63,Radeon Pro W5700,1649.99,15039.0,,,0.10971407673382538
93,64,Quadro RTX 5000 (Mobile),,14832.0,,,
94,65,Radeon Pro Vega II,,14738.0,,,
95,66,Quadro RTX 5000 with Max-Q Design,,14700.0,,,
96,69,Radeon Pro Vega 64X,,14631.0,,,
97,71,Radeon PRO W6600,,14435.0,,,
98,72,RTX A2000 12GB,,14374.0,,,
99,75,Radeon Pro WX 8200,1599.39,13885.0,,,0.1151883327331653
100,77,Radeon Vega Frontier Edition,1679.99,13847.0,,,0.12132519679352928
101,79,Radeon RX 6800S,,13672.0,,,
102,84,RTX A2000,845.99,13278.0,,,0.06371366169603856
103,85,Tesla T10,,13264.0,,,
104,86,Radeon Pro WX 9100,,13190.0,,,
105,87,RTX A3000 Laptop GPU,,13153.0,,,
106,88,Quadro RTX 4000 (Mobile),,12946.0,,,
107,89,Radeon Pro V520 MxGPU,,12853.0,,,
108,90,GeForce RTX 3060 Laptop GPU,384.99,12827.0,,,0.03001403289935293
109,93,Radeon RX 6700S,,12707.0,,,
110,94,Radeon Pro 5700 XT,,12551.0,,,
111,95,Radeon Pro Vega 56,,12398.0,,,
112,96,Quadro P5200,,12354.0,,,
113,97,GeForce RTX 2070 (Mobile),,12354.0,,,
114,98,GeForce RTX 2080 with Max-Q Design,2099.99,12322.0,,,0.1704260671968836
115,99,Quadro M6000 24GB,,12320.0,,,
116,100,Quadro P5000,1868.99,11944.0,,,0.15647940388479573
117,101,Radeon Pro 5700,,11844.0,,,
118,103,Radeon RX 6700M,,11800.0,,,
119,105,Quadro M6000,1099.98,11678.0,,,0.09419249871553348
120,106,Tesla M40 24GB,,11658.0,,,
121,107,Quadro P4000,556.19,11390.0,,,0.04883143107989465
122,108,GeForce RTX 2060 (Mobile),,11355.0,,,
123,109,Radeon Pro Vega 48,,11353.0,,,
124,111,Quadro RTX 4000 with Max-Q Design,,11186.0,,,
125,112,GeForce RTX 2070 with Max-Q Design,,11178.0,,,
126,114,Quadro RTX 3000,,11091.0,,,
127,115,Radeon Pro Vega 64,,10828.0,,,
128,116,RTX A2000 8GB Laptop GPU,,10824.0,,,
129,117,Tesla T4,4581.01,10807.0,,,0.4238928472286481
130,119,Radeon RX 6600M,259.99,10529.0,,,0.024692753347896286
131,120,Radeon Pro SSG,2410.15,10498.0,,,0.2295818251095447
132,121,Radeon Instinct MI25 MxGPU,,10466.0,,,
133,122,GeForce GTX 1070 (Mobile),,10465.0,,,
134,123,Quadro P4200 with Max-Q Design,,10323.0,,,
135,124,RTX A2000 Laptop GPU,,10209.0,,,
136,125,GeForce GTX 1660 Ti (Mobile),,10176.0,,,
137,126,GeForce GTX 1080 with Max-Q Design,,10175.0,,,
138,128,Tesla M40,600.0,10117.0,,,0.05930611841454977
139,129,NVS 315,69.99,,,,
140,132,Quadro P4200,,9853.0,,,
141,133,Quadro P5200 with Max-Q Design,,9796.0,,,
142,134,RTX A1000 Laptop GPU,,9746.0,,,
143,135,Radeon R9 Fury + Fury X,449.99,9741.0,,,0.04619546247818499
144,137,Radeon RX 6800M,,9712.0,,,
145,138,GeForce RTX 3050 Ti Laptop GPU,,9676.0,,,
146,143,Radeon Ryzen 9 4900HSS,,9461.0,,,
147,144,Quadro P2200,577.17,9456.0,,,0.06103743654822335
148,145,GeForce GTX 1070 with Max-Q Design,,9442.0,,,
149,147,Quadro M5000,499.0,9318.0,,,0.05355226443442799
150,148,Radeon Pro W5500,480.99,9292.0,,,0.05176388291003013
151,149,Radeon RX 6500 XT,167.99,9259.0,,,0.01814342801598445
152,151,GeForce GTX TITAN Z,1515.0,9189.0,,,0.16487104146261836
153,152,Radeon Pro 5600M,,9153.0,,,
154,153,GeForce GTX TITAN Black,524.99,9140.0,,,0.057438730853391684
155,154,Quadro P4000 with Max-Q Design,,9083.0,,,
156,156,GeForce RTX 3050 Laptop GPU,300.02,9039.0,,,0.03319172474831286
157,157,GeForce GTX 1060 5GB,487.99,9039.0,,,0.05398716672198252
